date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:12	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:12%20GMT	https://tiengnhatcolam.vn/hls-chuhanbai16-chuhanbai16.mp4-1678939241-69e48f295fe6ecbe6099f73b03fa5309-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-chuhanbai16-chuhanbai16.mp4-1678939241-69e48f295fe6ecbe6099f73b03fa5309-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-153-chu-han-bai-6-phan-2)
11:11:12	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:13%20GMT	https://tiengnhatcolam.vn/hls-tuvungbai17-tuvungbai17.mp4-1678939241-f1057b32ae662df3fd0b63a1a9fb9328-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-tuvungbai17-tuvungbai17.mp4-1678939241-f1057b32ae662df3fd0b63a1a9fb9328-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-155-tu-vung-bai-17)
11:11:12	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:13%20GMT	https://tiengnhatcolam.vn/hls-hoithoaibai17-hoithoaibai17.mp4-1678939242-87afed47869d468a4c5dcedf9e4ff5c7-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-hoithoaibai17-hoithoaibai17.mp4-1678939242-87afed47869d468a4c5dcedf9e4ff5c7-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-157-hoi-thoai-bai-17)
11:11:15	297012/297012	---M--	200	added ('OK')	image/jpeg	etag:%2248834-585b2b5fff84e%22	https://tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2017%20trang%201.jpg	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2017%20trang%201.jpg	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-159-doc-hieu-bai-17)
11:11:15	292058/292058	---M--	200	added ('OK')	image/jpeg	etag:%22474da-585b2b8ec94d1%22	https://tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2017%20trang%202.jpg	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2017%20trang%202.jpg	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-159-doc-hieu-bai-17)
11:11:21	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:22%20GMT	https://tiengnhatcolam.vn/hls-chuhanbai17-chuhanbai17.mp4-1678939243-654f48042430e05beecc3d6e3a4d4321-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-chuhanbai17-chuhanbai17.mp4-1678939243-654f48042430e05beecc3d6e3a4d4321-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-161-chu-han-bai-7-phan-1)
11:11:21	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:22%20GMT	https://tiengnhatcolam.vn/hls-tuvungbai18-tuvungbai18.mp4-1678939243-f80311b60fba21d9d759454011c2b549-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-tuvungbai18-tuvungbai18.mp4-1678939243-f80311b60fba21d9d759454011c2b549-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-163-tu-vung-bai-18)
11:11:22	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:23%20GMT	https://tiengnhatcolam.vn/hls-hoithoaibai18-hoithoaibai18.mp4-1678939243-1d8f01f5056520b6d2b5b808fffa449f-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-hoithoaibai18-hoithoaibai18.mp4-1678939243-1d8f01f5056520b6d2b5b808fffa449f-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-165-hoi-thoai-bai-18)
11:11:23	324557/324557	---M--	200	added ('OK')	image/jpeg	etag:%224f3cd-585b2c59ceede%22	https://tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2018%20trang%201.jpg	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2018%20trang%201.jpg	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-167-doc-hieu-bai-18)
11:11:23	220162/220162	---M--	200	added ('OK')	image/jpeg	etag:%2235c02-585b2c68f8855%22	https://tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2018%20trang%202.jpg	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2018%20trang%202.jpg	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-167-doc-hieu-bai-18)
11:11:23	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:24%20GMT	https://tiengnhatcolam.vn/hls-chuhanbai18-chuhanbai18.mp4-1678939244-25e895b613ae67b1fc471f52e1cb2ecb-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-chuhanbai18-chuhanbai18.mp4-1678939244-25e895b613ae67b1fc471f52e1cb2ecb-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-168-chu-han-bai-7-phan-2)
11:11:24	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:25%20GMT	https://tiengnhatcolam.vn/hls-tuvungbai19-tuvungbai19.mp4-1678939245-40e7367322369c2b8b8114223ee83734-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-tuvungbai19-tuvungbai19.mp4-1678939245-40e7367322369c2b8b8114223ee83734-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-170-tu-vung-bai-19)
11:11:25	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:25%20GMT	https://tiengnhatcolam.vn/hls-hoithoaibai19-hoithoaibai19.mp4-1678939245-5dcd10269d71d7f66a4841de0b9fb726-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-hoithoaibai19-hoithoaibai19.mp4-1678939245-5dcd10269d71d7f66a4841de0b9fb726-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-172-hoi-thoai-bai-19)
11:11:25	274620/274620	---M--	200	added ('OK')	image/jpeg	etag:%22430bc-585b49fa212db%22	https://tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2019%20trang%201.jpg	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2019%20trang%201.jpg	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-174-doc-hieu-bai-19)
11:11:26	264684/264684	---M--	200	added ('OK')	image/jpeg	etag:%22409ec-585b4a0da7781%22	https://tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2019%20trang%202.jpg	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/storage/lessons/April2019/B%c3%a0i%2019%20trang%202.jpg	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-174-doc-hieu-bai-19)
11:11:26	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:27%20GMT	https://tiengnhatcolam.vn/hls-chuhanbai19-chuhanbai19.mp4-1678939247-eb3b88fbdfe884fe3deb81c96a68fcc7-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-chuhanbai19-chuhanbai19.mp4-1678939247-eb3b88fbdfe884fe3deb81c96a68fcc7-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-175-chu-han-bai-8-phan-1)
11:11:27	7/7	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2004:11:27%20GMT	https://tiengnhatcolam.vn/hls-tuvungbai20-tuvungbai20.mp4-1678939247-c219d72cc7470136874054b2f2ca6040-playlist.m3u8	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/hls-tuvungbai20-tuvungbai20.mp4-1678939247-c219d72cc7470136874054b2f2ca6040-playlist.html	(from https://tiengnhatcolam.vn/khoa-hoc/khoa-hoc-n5-free/17-177-tu-vung-bai-20)
